date,time,bottle,timepoint,days,treatment,cells,amendment,control_live,cells_ml
10/12/24,17:00,A,0,0,No Cells No Amendment,No,None,Control,385.6213575
10/12/24,17:00,B,0,0,No Cells No Amendment,No,None,Control,857.7112702
10/12/24,17:00,C,0,0,No Cells No Amendment,No,None,Control,625.8394606
10/12/24,17:00,D,0,0,Cells No Amendment,Yes,None,Live,58137.30194
10/12/24,17:00,E,0,0,Cells No Amendment,Yes,None,Live,50805.38426
10/12/24,17:00,F,0,0,Cells No Amendment,Yes,None,Live,55911.36517
10/12/24,17:00,G,0,0,No Cells NAGA,No,NAGA,Control,250.6404907
10/12/24,17:00,H,0,0,No Cells NAGA,No,NAGA,Control,1180.333159
10/12/24,17:00,I,0,0,No Cells NAGA,No,NAGA,Control,1722.05847
10/12/24,17:00,J,0,0,No Cells Alginate,No,Alginate,Control,2799.967268
10/12/24,17:00,K,0,0,No Cells Alginate,No,Alginate,Control,1543.288928
10/12/24,17:00,L,0,0,No Cells Alginate,No,Alginate,Control,1138.911131
10/12/24,17:00,M,0,0,No Cells Fucoidan,No,Fucoidan,Control,404.2046889
10/12/24,17:00,N,0,0,No Cells Fucoidan,No,Fucoidan,Control,929.6698137
10/12/24,17:00,O,0,0,No Cells Fucoidan,No,Fucoidan,Control,1083.270133
10/12/24,17:00,P,0,0,Cells NAGA,Yes,NAGA,Live,64270.52876
10/12/24,17:00,Q,0,0,Cells NAGA,Yes,NAGA,Live,66378.50566
10/12/24,17:00,R,0,0,Cells NAGA,Yes,NAGA,Live,67874.62285
10/12/24,17:00,S,0,0,Cells Alginate,Yes,Alginate,Live,61576.21232
10/12/24,17:00,T,0,0,Cells Alginate,Yes,Alginate,Live,64638.53006
10/12/24,17:00,U,0,0,Cells Alginate,Yes,Alginate,Live,59862.86807
10/12/24,17:00,V,0,0,Cells Fucoidan,Yes,Fucoidan,Live,69018.2631
10/12/24,17:00,W,0,0,Cells Fucoidan,Yes,Fucoidan,Live,67677.27759
10/12/24,17:00,X,0,0,Cells Fucoidan,Yes,Fucoidan,Live,70485.97679
10/13/24,14:00,A,1,0.875,No Cells No Amendment,No,None,Control,169.7914205
