DNA_SampleID,sample,LC_vial_name,incubation_id,sample_date,season,blade,age_d,phys_state,Chl_C,tissue_CN,NMDS1,NMDS2
MP_230809_B1_S1,1,230809 B1,MP_230809_A0_B1,8/9/23,Summer,1,16,Mature,0.006046191,31,-0.0885778626365724,-0.5072759414862605
MP_230809_B2_S2,2,230809 B2,MP_230809_A0_B2,8/9/23,Summer,2,16,Mature,0.006302844,31.6,0.03143992126373005,-0.4959418210081094
MP_230809_B3_S3,3,230809 B3,MP_230809_A0_B3,8/9/23,Summer,3,16,Mature,0.003679731,34.8,-0.04657400078475478,-0.3874065138860486
MP_230809_B4_S4,4,230809 B4,MP_230809_A0_B4,8/9/23,Summer,4,16,Mature,0.008074281,27.9,-0.1038424380227802,-0.43292262084183153
MP_230809_B5_S5,5,230809 B5,MP_230809_A0_B5,8/9/23,Summer,5,16,Mature,0.007602659,29.3,-0.17129810416062427,-0.31922081183743867
MP_230809_B6_S6,6,230809 B6,MP_230809_A0_B6,8/9/23,Summer,6,16,Mature,0.008784535,25.1,0.045901253309295974,-0.5527996061399644
MP_230823_B1_S7,7,230823 B1,MP_230809_A1_B1,8/23/23,Summer,1,30,Mature,0.006114078,29.1,-0.24075403074842364,-0.46196689684405595
MP_230823_B2_S8,8,230823 B2,MP_230809_A1_B2,8/23/23,Summer,2,30,Mature,0.006411307,28.6,-0.22708192202690097,-0.4720527683823451
MP_230823_B3_S9,9,230823 B3,MP_230809_A1_B3,8/23/23,Summer,3,30,Mature,0.006456961,32.1,-0.44078601233091547,-0.5186103269395921
MP_230823_B4_S10,10,230823 B4,MP_230809_A1_B4,8/23/23,Summer,4,30,Mature,0.006005332,28.1,0.0992008011444112,-0.5964723869338514
MP_230823_B5_S11,11,230823 B5,MP_230809_A1_B5,8/23/23,Summer,5,30,Mature,0.007092203,31.6,-0.23121088594301598,-0.5148184665939433
MP_230823_B6_S12,12,230823 B6,MP_230809_A1_B6,8/23/23,Summer,6,30,Mature,0.00612841,30.2,0.17103395697527374,-0.5116540925090857
MP_230905_B1_S13,13,230905 B1,MP_230809_A2_B1,9/5/23,Summer,1,43,Mature,0.006779427,32.6,-0.28003265201371513,-0.42946724512499407
MP_230905_B2_S14,14,230905 B2,MP_230809_A2_B2,9/5/23,Summer,2,43,Mature,0.005747795,33.8,-0.4670130681619227,-0.307574932143284
MP_230905_B3_S15,15,230905 B3,MP_230809_A2_B3,9/5/23,Summer,3,43,Mature,0.0072630460000000004,24.9,-0.5208861099799181,-0.2780252784892407
MP_230905_B4_S16,16,230905 B4,MP_230809_A2_B4,9/5/23,Summer,4,43,Mature,0.006541364,33.2,-0.3512930210052342,-0.5360077818270933
MP_230905_B5_S17,17,230905 B5,MP_230809_A2_B5,9/5/23,Summer,5,43,Mature,0.006699163,29.7,-0.5090961754512068,-0.317508813152397
MP_230905_B6_S18,18,230905 B6,MP_230809_A2_B6,9/5/23,Summer,6,43,Mature,0.012348433,20.4,-0.39949069518982533,-0.41232193007601475
MP_230926_B1_S19,19,230926 B1,MP_230809_A3_B1,9/26/23,Summer,1,64,Senescent,0.005116198,33.7,-0.6266341120617719,-0.1234105279381278
MP_230926_B2_S20,20,230926 B2,MP_230809_A3_B2,9/26/23,Summer,2,64,Senescent,0.003949137,34.8,-0.4779100266226806,-0.09192534619150616
MP_230926_B3_S21,21,230926 B3,MP_230809_A3_B3,9/26/23,Summer,3,64,Senescent,0.002271534,39.8,-0.6193101020571178,0.053689623188881735
MP_230926_B4_S22,22,230926 B4,MP_230809_A3_B4,9/26/23,Summer,4,64,Senescent,8.14653e-4,35.9,-0.5404846881193233,-0.0063229654610738855
MP_230926_B5_S23,23,230926 B5,MP_230809_A3_B5,9/26/23,Summer,5,64,Senescent,0.001094457,33,-0.556154184389244,-0.06034089601673407
MP_230926_B6_S24,24,230926 B6,MP_230809_A3_B6,9/26/23,Summer,6,64,Senescent,0.00646111,31.6,-0.5240481176001643,-0.18404422538798956
MP_231010_B1_S25,25,231010 B1,MP_230809_A4_B1,10/10/23,Summer,1,78,Senescent,0.003785516,34.4,-0.6835780372740602,0.07468782875006352
MP_231010_B2_S26,26,231010 B2,MP_230809_A4_B2,10/10/23,Summer,2,78,Senescent,0.00210562,37.1,-0.8259015602816399,0.25033412023046436
MP_231010_B3_S27,27,231010 B3,MP_230809_A4_B3,10/10/23,Summer,3,78,Senescent,3.89705e-4,38.8,-0.7912838323681337,0.3579935031265625
MP_231010_B4_S28,28,231010 B4,MP_230809_A4_B4,10/10/23,Summer,4,78,Senescent,0.003249898,34.4,-0.7271084640967782,0.1415253659691572
MP_231010_B5_S29,29,231010 B5,MP_230809_A4_B5,10/10/23,Summer,5,78,Senescent,0.003233657,35.5,-0.6812223923120135,0.14697557041428885
MP_231010_B6_S30,30,231010 B6,MP_230809_A4_B6,10/10/23,Summer,6,78,Senescent,0.003294372,35.9,-0.5852710599442379,0.13833013669438146
MP_240417_B1_S31,31,240417 B1,MP_240415_A0_B1,4/17/24,Spring,1,16,Mature,0.010030423,10.8,0.8358586323722117,-0.20420124617551125
MP_240417_B2_S32,32,240417 B2,MP_240415_A0_B2,4/17/24,Spring,2,16,Mature,0.014072878,9.3,1.349973762504788,-0.4229299198318147
MP_240417_B3_S33,33,240417 B3,MP_240415_A0_B3,4/17/24,Spring,3,16,Mature,0.011256357,10.1,0.6869220765868169,-0.17067152836021585
MP_240417_B4_S34,34,240417 B4,MP_240415_A0_B4,4/17/24,Spring,4,16,Mature,0.022716035,9.1,1.340294346166088,-0.5095401833382072
MP_240417_B5_S35,35,240417 B5,MP_240415_A0_B5,4/17/24,Spring,5,16,Mature,0.011437384,9.8,1.0111819152710582,-0.3249996632393039
MP_240417_B6_S36,36,240417 B6,MP_240415_A0_B6,4/17/24,Spring,6,16,Mature,0.011423963,9.6,1.2592555040245939,-0.3862375875664073
MP_240507_B1_S37,37,240507 B1,MP_240415_A1_B1,5/7/24,Spring,1,37,Mature,0.014264987,10.7,0.6437844749513107,0.06696260061642206
MP_240507_B2_S38,38,240507 B2,MP_240415_A1_B2,5/7/24,Spring,2,37,Mature,0.016916396,9.8,1.0027279145164367,0.10157533982453963
MP_240507_B3_S39,39,240507 B3,MP_240415_A1_B3,5/7/24,Spring,3,37,Mature,0.019847644,9.6,1.1123582105991185,0.72540053198203
MP_240507_B4_S40,40,240507 B4,MP_240415_A1_B4,5/7/24,Spring,4,37,Mature,0.012504661,10.5,0.580869999976483,0.04989636731251621
MP_240507_B5_S41,41,240507 B5,MP_240415_A1_B5,5/7/24,Spring,5,37,Mature,0.015819696,10.1,1.0814080098966867,0.6310033535673271
MP_240507_B6_S42,42,240507 B6,MP_240415_A1_B6,5/7/24,Spring,6,37,Mature,0.009291893,11.6,0.5867859568117232,0.38692897045981284
MP_240528_B1_S43,43,240528 B1,MP_240415_A2_B1,5/28/24,Spring,1,58,Senescent,0.00431506,9,0.10683785057027985,0.20688359629794278
MP_240528_B2_S44,44,240528 B2,MP_240415_A2_B2,5/28/24,Spring,2,58,Senescent,0.0106508,10.1,0.11807599621243783,0.5649242903285956
MP_240528_B3_S45,45,240528 B3,MP_240415_A2_B3,5/28/24,Spring,3,58,Senescent,0.012568716,10.5,0.12273850376348075,0.35293601002788827
MP_240528_B4_S46,46,240528 B4,MP_240415_A2_B4,5/28/24,Spring,4,58,Senescent,0.008852806,9,0.019203172291093723,0.4116448104752868
MP_240528_B5_S47,47,240528 B5,MP_240415_A2_B5,5/28/24,Spring,5,58,Senescent,0.011834935,10.2,0.31103460533098753,0.5062979246902164
MP_240528_B6_S48,48,240528 B6,MP_240415_A2_B6,5/28/24,Spring,6,58,Senescent,0.009825778,10.6,-0.11385987787930074,1.1530345838034983
MP_240616_B1_S49,49,240616 B1,MP_240415_A3_B1,6/16/24,Spring,1,77,Senescent,0.002532034,18.3,-0.15287718671371242,0.8106189384433531
MP_240616_B2_S50,50,240616 B2,MP_240415_A3_B2,6/16/24,Spring,2,77,Senescent,0.005771693,14.6,-0.23171401787649812,1.1288175728466554
MP_240616_B3_S51,51,240616 B3,MP_240415_A3_B3,6/16/24,Spring,3,77,Senescent,0.007063409,11.6,-0.03270237349507325,0.4795117472009391
MP_240616_B4_S52,52,240616 B4,MP_240415_A3_B4,6/16/24,Spring,4,77,Senescent,0.008982972,10.8,-0.1035347410374282,0.54308782667978
MP_240616_B5_S53,53,240616 B5,MP_240415_A3_B5,6/16/24,Spring,5,77,Senescent,0.003581726,17.4,-0.07408655586067854,0.6614798533449946
MP_240616_B6_S54,54,240616 B6,MP_240415_A3_B6,6/16/24,Spring,6,77,Senescent,0.002259719,18.8,-0.09126855609263976,0.5921318574468446
