date,reef,season,blade,lightlevel_timepoint,wet_mass_,dry_mass_g,length_cm,width_cm,age_d,PAR,chlA_nmol_g,FX_nmol_g,chlA_g_g,NPP_umolC_g_hr,DOC_umolC_g_hr,tissue_C_percent,tissue_N_percent,C_N,Chl_C,growth_rate_hr,N_N_uM,a270_m_g_l_hr,flag,flag_note
5/3/23,MK,,1,1,,,,,14,0,,,,-20.5,3,,,,,,,,1,
5/3/23,MK,,2,1,,,,,14,4,,,,22.3,1.3,,,,,,,,1,
5/3/23,MK,,3,1,,,,,14,4,,,,10.3,1.7,,,,,,,,1,
5/3/23,MK,,4,2,,,,,14,62,,,,105.1,2.5,,,,,,,,1,
5/3/23,MK,,5,2,,,,,14,62,,,,55,6.1,,,,,,,,1,
5/3/23,MK,,6,2,,,,,14,62,,,,96.7,0.2,,,,,,,,1,
5/3/23,MK,,1,3,,,,,14,125,,,,177.3,5.1,,,,,,,,1,
5/3/23,MK,,2,3,,,,,14,125,,,,187.5,6.5,,,,,,,,1,
5/3/23,MK,,3,3,,,,,14,125,,,,132.1,7.3,,,,,,,,1,
5/3/23,MK,,4,4,,,,,14,316,,,,181.2,9.5,,,,,,,,1,
5/3/23,MK,,5,4,,,,,14,316,,,,232.9,9.8,,,,,,,,1,
5/3/23,MK,,6,4,,,,,14,316,,,,238.8,11.9,,,,,,,,1,
5/3/23,MK,,1,5,,,,,14,500,,,,250.3,7.4,,,,,,,,1,
5/3/23,MK,,2,5,,,,,14,500,,,,295,6.4,,,,,,,,1,
5/3/23,MK,,3,5,,,,,14,500,,,,245.4,6.6,,,,,,,,1,
5/3/23,MK,,4,6,,,,,14,1350,,,,214.6,8.8,,,,,,,,1,
5/3/23,MK,,5,6,,,,,14,1350,,,,239.6,12.1,,,,,,,,1,
5/3/23,MK,,6,6,,,,,14,1350,,,,267.7,5.6,,,,,,,,1,
8/9/23,MK,Summer,1,1,21.372,2.831,76,10,16,0,256,177,0.00173,-24.6,0.7,28.59,0.92,30.97,0.006,-0.001,1.1,0.037,1,
8/9/23,MK,Summer,2,1,23.186,3.151,73,10,16,0,281,200,0.00184,-22.8,-0.3,29.26,0.93,31.56,0.0063,-0.001,1.8,0.03,1,
8/9/23,MK,Summer,3,1,16.483,2.339,53,10,16,0,172,132,0.00108,-23.8,-0.5,29.38,0.84,34.81,0.0037,-0.001,1.1,0.065,1,
8/9/23,MK,Summer,4,2,23.1,2.818,75,11,16,72,294,220,0.00215,55.8,0.5,26.66,0.95,27.94,0.0081,0.003,0.5,0.087,1,
8/9/23,MK,Summer,5,2,23.404,2.704,68,10,16,75,258,197,0.00199,58.9,0.2,26.21,0.89,29.34,0.0076,0.003,0.9,0.097,1,
8/9/23,MK,Summer,6,2,27.014,2.978,78,10,16,60,256,186,0.00208,45.1,0.9,23.64,0.94,25.07,0.0088,0.002,1.4,0.079,1,
8/9/23,MK,Summer,1,3,21.372,2.831,76,10,16,135,256,177,0.00173,138.2,1.8,28.59,0.92,30.97,0.006,0.006,2.8,0.027,1,
8/9/23,MK,Summer,2,3,23.186,3.151,73,10,16,130,281,200,0.00184,118.2,0,29.26,0.93,31.56,0.0063,0.005,3.2,0.036,1,
8/9/23,MK,Summer,3,3,16.483,2.339,53,10,16,90,172,132,0.00108,110.2,1.9,29.38,0.84,34.81,0.0037,0.005,2.6,0.062,1,
8/9/23,MK,Summer,4,4,23.1,2.818,75,11,16,280,294,220,0.00215,177.2,5.8,26.66,0.95,27.94,0.0081,0.008,1.6,0.124,1,
8/9/23,MK,Summer,5,4,23.404,2.704,68,10,16,320,258,197,0.00199,164.1,3.8,26.21,0.89,29.34,0.0076,0.008,2.1,0.119,1,
8/9/23,MK,Summer,6,4,27.014,2.978,78,10,16,280,256,186,0.00208,142.2,8.1,23.64,0.94,25.07,0.0088,0.007,2.8,0.122,1,
8/9/23,MK,Summer,1,5,21.372,2.831,76,10,16,473,256,177,0.00173,220.7,1,28.59,0.92,30.97,0.006,0.009,5.3,0.068,1,
8/9/23,MK,Summer,2,5,23.186,3.151,73,10,16,475,281,200,0.00184,185.8,1.8,29.26,0.93,31.56,0.0063,0.008,5.3,0.068,1,
8/9/23,MK,Summer,3,5,16.483,2.339,53,10,16,348,172,132,0.00108,188,2.1,29.38,0.84,34.81,0.0037,0.008,5.1,0.055,1,
