DNA_SampleID,age_d,experiment,season,blade,phase,Fucose,Rhamnose,Galactoseamine,Arabinose,Glucoseamine,Galactose,Gal-URA,Glc-URA,Man-URA
MP_230809_B1_S1,16,exudation,Summer,1,Mature,0.52,0.02,0.02,0.00,0.05,0.15,0.01,0.09,0.14
MP_230809_B2_S2,16,exudation,Summer,2,Mature,0.48,0.00,0.00,0.20,0.02,0.22,0.03,0.05,0.00
MP_230809_B3_S3,16,exudation,Summer,3,Mature,0.63,0.00,0.01,0.00,0.00,0.00,0.00,0.20,0.16
MP_230809_B4_S4,16,exudation,Summer,4,Mature,0.29,0.12,0.00,0.00,0.06,0.46,0.00,0.06,0.02
MP_230809_B5_S5,16,exudation,Summer,5,Mature,0.32,0.08,0.00,0.00,0.01,0.32,0.02,0.13,0.13
MP_230809_B6_S6,16,exudation,Summer,6,Mature,0.46,0.13,0.00,0.01,0.05,0.17,0.00,0.10,0.07
MP_230823_B1_S7,30,exudation,Summer,1,Mature,0.39,0.08,0.02,0.00,0.05,0.41,0.00,0.05,0.00
MP_230823_B2_S8,30,exudation,Summer,2,Mature,0.75,0.00,0.02,0.00,0.03,0.00,0.00,0.20,0.00
MP_230823_B3_S9,30,exudation,Summer,3,Mature,0.31,0.00,0.00,0.00,0.22,0.07,0.00,0.39,0.00
MP_230823_B4_S10,30,exudation,Summer,4,Mature,0.33,0.19,0.00,0.05,0.09,0.20,0.00,0.09,0.04
MP_230823_B5_S11,30,exudation,Summer,5,Mature,0.49,0.04,0.01,0.00,0.04,0.11,0.00,0.27,0.04
MP_230823_B6_S12,30,exudation,Summer,6,Mature,0.74,0.00,0.01,0.00,0.03,0.17,0.00,0.05,0.00
MP_230905_B1_S13,43,exudation,Summer,1,Mature,0.63,0.02,0.02,0.00,0.05,0.12,0.00,0.14,0.02
MP_230905_B2_S14,43,exudation,Summer,2,Mature,0.40,0.13,0.00,0.00,0.02,0.28,0.00,0.13,0.04
MP_230905_B3_S15,43,exudation,Summer,3,Mature,0.18,0.10,0.00,0.12,0.04,0.36,0.02,0.04,0.13
MP_230905_B4_S16,43,exudation,Summer,4,Mature,0.27,0.13,0.02,0.08,0.06,0.35,0.00,0.00,0.09
MP_230905_B5_S17,43,exudation,Summer,5,Mature,0.48,0.08,0.02,0.01,0.00,0.15,0.08,0.17,0.00
MP_230905_B6_S18,43,exudation,Summer,6,Mature,0.30,0.00,0.00,0.04,0.01,0.29,0.02,0.12,0.21
MP_230926_B1_S19,64,exudation,Summer,1,Senescent,0.29,0.02,0.00,0.00,0.03,0.01,0.00,0.10,0.55
MP_230926_B2_S20,64,exudation,Summer,2,Senescent,0.24,0.05,0.00,0.00,0.05,0.00,0.00,0.11,0.55
MP_230926_B3_S21,64,exudation,Summer,3,Senescent,0.20,0.02,0.00,0.00,0.01,0.04,0.00,0.04,0.69
MP_230926_B4_S22,64,exudation,Summer,4,Senescent,0.28,0.03,0.00,0.00,0.02,0.08,0.00,0.07,0.53
MP_230926_B5_S23,64,exudation,Summer,5,Senescent,0.64,0.02,0.00,0.00,0.03,0.22,0.00,0.08,0.00
MP_230926_B6_S24,64,exudation,Summer,6,Senescent,0.28,0.17,0.00,0.00,0.04,0.02,0.00,0.19,0.30
MP_231010_B1_S25,78,exudation,Summer,1,Senescent,0.38,0.00,0.00,0.00,0.05,0.18,0.00,0.12,0.26
MP_231010_B2_S26,78,exudation,Summer,2,Senescent,0.27,0.00,0.00,0.00,0.03,0.15,0.00,0.14,0.41
MP_231010_B3_S27,78,exudation,Summer,3,Senescent,0.20,0.02,0.00,0.00,0.01,0.12,0.00,0.07,0.57
MP_231010_B4_S28,78,exudation,Summer,4,Senescent,0.16,0.01,0.00,0.01,0.01,0.11,0.01,0.10,0.59
MP_231010_B5_S29,78,exudation,Summer,5,Senescent,0.19,0.00,0.00,0.00,0.02,0.14,0.01,0.10,0.53
MP_231010_B6_S30,78,exudation,Summer,6,Senescent,0.16,0.00,0.00,0.00,0.02,0.10,0.01,0.09,0.62
MP_240417_B1_S31,16,exudation,Spring,1,Mature,0.58,0.02,0.00,0.00,0.16,0.16,0.00,0.09,0.00
MP_240417_B2_S32,16,exudation,Spring,2,Mature,0.52,0.01,0.00,0.00,0.12,0.15,0.00,0.10,0.10
MP_240417_B3_S33,16,exudation,Spring,3,Mature,0.44,0.10,0.01,0.00,0.13,0.23,0.01,0.08,0.00
MP_240417_B4_S34,16,exudation,Spring,4,Mature,0.58,0.02,0.01,0.00,0.16,0.15,0.00,0.09,0.00
MP_240417_B5_S35,16,exudation,Spring,5,Mature,0.61,0.01,0.00,0.00,0.10,0.20,0.00,0.08,0.00
MP_240417_B6_S36,16,exudation,Spring,6,Mature,0.67,0.01,0.00,0.00,0.09,0.13,0.00,0.10,0.00
MP_240616_B1_S49,77,exudation,Spring,1,Senescent,0.43,0.04,0.00,0.00,0.01,0.30,0.00,0.09,0.12
MP_240616_B2_S50,77,exudation,Spring,2,Senescent,0.41,0.03,0.00,0.00,0.02,0.18,0.01,0.07,0.29
MP_240616_B3_S51,77,exudation,Spring,3,Senescent,0.33,0.27,0.00,0.00,0.05,0.32,0.00,0.02,0.00
MP_240616_B4_S52,77,exudation,Spring,4,Senescent,0.33,0.34,0.00,0.00,0.00,0.28,0.00,0.04,0.00
MP_240616_B5_S53,77,exudation,Spring,5,Senescent,0.51,0.08,0.00,0.00,0.03,0.34,0.00,0.03,0.00
MP_240616_B6_S54,77,exudation,Spring,6,Senescent,0.50,0.06,0.00,0.00,0.02,0.26,0.02,0.11,0.05
