DNA_SampleID,sample,LC_vial_name,incubation_id,sample_date,season,blade,age_d,phys_state,Chl_C,tissue_CN,Chao1,se.chao1,Shannon
MP_230809_B1_S1,1,230809 B1,MP_230809_A0_B1,8/9/23,Summer,1,16,Mature,0.006046191,31,314,-0,4.0926996963553925
MP_230809_B2_S2,2,230809 B2,MP_230809_A0_B2,8/9/23,Summer,2,16,Mature,0.006302844,31.6,255,-0,3.8614153326944716
MP_230809_B3_S3,3,230809 B3,MP_230809_A0_B3,8/9/23,Summer,3,16,Mature,0.003679731,34.8,335,-0,3.920016592187831
MP_230809_B4_S4,4,230809 B4,MP_230809_A0_B4,8/9/23,Summer,4,16,Mature,0.008074281,27.9,263,-0,3.9074745332714973
MP_230809_B5_S5,5,230809 B5,MP_230809_A0_B5,8/9/23,Summer,5,16,Mature,0.007602659,29.3,368,-0,4.362021708259819
MP_230809_B6_S6,6,230809 B6,MP_230809_A0_B6,8/9/23,Summer,6,16,Mature,0.008784535,25.1,210,-0,3.640011201140257
MP_230823_B1_S7,7,230823 B1,MP_230809_A1_B1,8/23/23,Summer,1,30,Mature,0.006114078,29.1,302,-0,4.09585855244019
MP_230823_B2_S8,8,230823 B2,MP_230809_A1_B2,8/23/23,Summer,2,30,Mature,0.006411307,28.6,294,-0,4.1384690212931154
MP_230823_B3_S9,9,230823 B3,MP_230809_A1_B3,8/23/23,Summer,3,30,Mature,0.006456961,32.1,468,-0,4.558983170185844
MP_230823_B4_S10,10,230823 B4,MP_230809_A1_B4,8/23/23,Summer,4,30,Mature,0.006005332,28.1,117,-0,3.427647491094613
MP_230823_B5_S11,11,230823 B5,MP_230809_A1_B5,8/23/23,Summer,5,30,Mature,0.007092203,31.6,307,-0,4.0887156780214005
MP_230823_B6_S12,12,230823 B6,MP_230809_A1_B6,8/23/23,Summer,6,30,Mature,0.00612841,30.2,120,-0,3.364756396573417
MP_230905_B1_S13,13,230905 B1,MP_230809_A2_B1,9/5/23,Summer,1,43,Mature,0.006779427,32.6,250,-0,3.9969251924110796
MP_230905_B2_S14,14,230905 B2,MP_230809_A2_B2,9/5/23,Summer,2,43,Mature,0.005747795,33.8,311,-0,4.1318252617805085
MP_230905_B3_S15,15,230905 B3,MP_230809_A2_B3,9/5/23,Summer,3,43,Mature,0.0072630460000000004,24.9,403,-0,4.774678344847347
MP_230905_B4_S16,16,230905 B4,MP_230809_A2_B4,9/5/23,Summer,4,43,Mature,0.006541364,33.2,225,-0,3.927915905729397
MP_230905_B5_S17,17,230905 B5,MP_230809_A2_B5,9/5/23,Summer,5,43,Mature,0.006699163,29.7,351,-0,4.610282330242902
MP_230905_B6_S18,18,230905 B6,MP_230809_A2_B6,9/5/23,Summer,6,43,Mature,0.012348433,20.4,259,-0,4.260889805951381
MP_230926_B1_S19,19,230926 B1,MP_230809_A3_B1,9/26/23,Summer,1,64,Senescent,0.005116198,33.7,406,-0,4.915237604890904
MP_230926_B2_S20,20,230926 B2,MP_230809_A3_B2,9/26/23,Summer,2,64,Senescent,0.003949137,34.8,307,-0,4.644018158201145
MP_230926_B3_S21,21,230926 B3,MP_230809_A3_B3,9/26/23,Summer,3,64,Senescent,0.002271534,39.8,325,-0,4.378750783920746
MP_230926_B4_S22,22,230926 B4,MP_230809_A3_B4,9/26/23,Summer,4,64,Senescent,8.14653e-4,35.9,312,-0,4.347804878209204
MP_230926_B5_S23,23,230926 B5,MP_230809_A3_B5,9/26/23,Summer,5,64,Senescent,0.001094457,33,350,-0,4.810491203039679
MP_230926_B6_S24,24,230926 B6,MP_230809_A3_B6,9/26/23,Summer,6,64,Senescent,0.00646111,31.6,274,-0,4.47366214625741
MP_231010_B1_S25,25,231010 B1,MP_230809_A4_B1,10/10/23,Summer,1,78,Senescent,0.003785516,34.4,385,0.0832250378576479,4.745388884771656
MP_231010_B2_S26,26,231010 B2,MP_230809_A4_B2,10/10/23,Summer,2,78,Senescent,0.00210562,37.1,386,-0,4.859033283266594
MP_231010_B3_S27,27,231010 B3,MP_230809_A4_B3,10/10/23,Summer,3,78,Senescent,3.89705e-4,38.8,293,-0,3.3213393055673865
MP_231010_B4_S28,28,231010 B4,MP_230809_A4_B4,10/10/23,Summer,4,78,Senescent,0.003249898,34.4,324,-0,4.539561061019803
MP_231010_B5_S29,29,231010 B5,MP_230809_A4_B5,10/10/23,Summer,5,78,Senescent,0.003233657,35.5,407,-0,4.781723452245095
MP_231010_B6_S30,30,231010 B6,MP_230809_A4_B6,10/10/23,Summer,6,78,Senescent,0.003294372,35.9,319,-0,4.5054507400913355
MP_240417_B1_S31,31,240417 B1,MP_240415_A0_B1,4/17/24,Spring,1,16,Mature,0.010030423,10.8,128,-0,2.941696500126677
MP_240417_B2_S32,32,240417 B2,MP_240415_A0_B2,4/17/24,Spring,2,16,Mature,0.014072878,9.3,73,-0,1.6959922837491535
MP_240417_B3_S33,33,240417 B3,MP_240415_A0_B3,4/17/24,Spring,3,16,Mature,0.011256357,10.1,168,-0,3.311732249703172
MP_240417_B4_S34,34,240417 B4,MP_240415_A0_B4,4/17/24,Spring,4,16,Mature,0.022716035,9.1,98,-0,2.2341425252914777
MP_240417_B5_S35,35,240417 B5,MP_240415_A0_B5,4/17/24,Spring,5,16,Mature,0.011437384,9.8,117,-0,2.138503077137074
MP_240417_B6_S36,36,240417 B6,MP_240415_A0_B6,4/17/24,Spring,6,16,Mature,0.011423963,9.6,74,-0,2.151515951679258
MP_240507_B1_S37,37,240507 B1,MP_240415_A1_B1,5/7/24,Spring,1,37,Mature,0.014264987,10.7,177,-0,3.327946219352229
MP_240507_B2_S38,38,240507 B2,MP_240415_A1_B2,5/7/24,Spring,2,37,Mature,0.016916396,9.8,115,-0,3.65853369249307
MP_240507_B3_S39,39,240507 B3,MP_240415_A1_B3,5/7/24,Spring,3,37,Mature,0.019847644,9.6,245,-0,4.1836091461036755
MP_240507_B4_S40,40,240507 B4,MP_240415_A1_B4,5/7/24,Spring,4,37,Mature,0.012504661,10.5,194,-0,3.8148623192152527
MP_240507_B5_S41,41,240507 B5,MP_240415_A1_B5,5/7/24,Spring,5,37,Mature,0.015819696,10.1,324,-0,4.342342290527649
MP_240507_B6_S42,42,240507 B6,MP_240415_A1_B6,5/7/24,Spring,6,37,Mature,0.009291893,11.6,302,-0,4.274604848876992
MP_240528_B1_S43,43,240528 B1,MP_240415_A2_B1,5/28/24,Spring,1,58,Senescent,0.00431506,9,293,-0,4.2550858002239265
MP_240528_B2_S44,44,240528 B2,MP_240415_A2_B2,5/28/24,Spring,2,58,Senescent,0.0106508,10.1,353,-0,4.549330487910644
MP_240528_B3_S45,45,240528 B3,MP_240415_A2_B3,5/28/24,Spring,3,58,Senescent,0.012568716,10.5,383,-0,4.536560810510658
MP_240528_B4_S46,46,240528 B4,MP_240415_A2_B4,5/28/24,Spring,4,58,Senescent,0.008852806,9,399,-0,4.72634511971453
MP_240528_B5_S47,47,240528 B5,MP_240415_A2_B5,5/28/24,Spring,5,58,Senescent,0.011834935,10.2,282,-0,4.311908104239073
MP_240528_B6_S48,48,240528 B6,MP_240415_A2_B6,5/28/24,Spring,6,58,Senescent,0.009825778,10.6,334,-0,4.623600512144492
MP_240616_B1_S49,49,240616 B1,MP_240415_A3_B1,6/16/24,Spring,1,77,Senescent,0.002532034,18.3,287,0.08318802662586913,4.454838853691009
