"1-1-a_S1","1-1-b_S2","1-2-a_S3","1-2-b_S4","1-3-a_S5","1-3-b_S6","1-4-a_S7","1-4-b_S8","1-5-a_S9","1-5-b_S10","1-6-a_S11","1-6-b_S12","1-7-a_S13","1-7-b_S14","2-1-a_S15","2-1-b_S16","3-1-a_S17","3-1-b_S18","3-2-a_S19","3-2-b_S20","3-3-a_S21","3-3-b_S22","3-4-a_S23","3-4-b_S24","blank-a_S62","blank-b_S63","goleta-a_S56","goleta-b_S57","inline-a_S54","inline-b_S55","kelp-1_S25","kelp-10_S34","kelp-11_S35","kelp-12_S36","kelp-13_S37","kelp-14_S38","kelp-15_S39","kelp-16_S40","kelp-17_S41","kelp-18_S42","kelp-19_S43","kelp-2_S26","kelp-21_S44","kelp-22_S45","kelp-23_S46","kelp-24_S47","kelp-25_S48","kelp-26_S49","kelp-27_S50","kelp-28_S51","kelp-29_S52","kelp-3_S27","kelp-30_S53","kelp-4_S28","kelp-5_S29","kelp-6_S30","kelp-7_S31","kelp-8_S32","kelp-9_S33","kelp-a_S58","kelp-b_S59","mock-a_S60","mock-b_S61"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3001,3771,4684,4269,3603,4137,4815,3159,3481,4284,3968,0,2974,5156,2505,3970,4365,0,0,0,0,4088,0,3107,3625,3313,3933,3803,4043,0,0,0,0
0,0,0,0,0,0,0,0,6696,5183,5704,5935,0,0,721,611,14,0,10,0,0,0,0,0,4,0,60,18,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,43,43,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7333,5314,53,29,0,0,1815,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5958,5480,0,0,0,0,1790,1965,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5084,5033,79,89,55,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4974,5180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4173,3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1083,1302,2097,1944,0,0,0,0,0,0,0,0,0,0,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620,2806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2393,2807,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1141,1351,897,575,0,0,0,0,0,0,0,0,0,0,0,0,52,0,371,303,104,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,2843,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,912,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,326,0,0,0,0,0,0,0,0,0,0,0,0,116,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,277,190,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,140,79,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,300,98,0,0,0,26,0,0,0,0,0
0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,96,63,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,368
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,71,31,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0
